Customer ID,Region,Satisfaction Score (1â€“10)
C00001,East,3
C00002,North,4
C00003,East,7
C00004,Central,8
C00005,East,2
C00006,Central,5
C00007,North,5
C00008,Central,9
C00009,East,3
C00010,Central,6
C00011,West,10
C00012,Central,5
C00013,Central,2
C00014,South,2
C00015,West,4
C00016,North,4
C00017,Central,7
C00018,West,1
C00019,North,6
C00020,West,9
C00021,South,2
C00022,North,5
C00023,North,10
C00024,Central,10
C00025,East,4
C00026,North,4
C00027,North,8
C00028,South,6
C00029,South,7
C00030,South,9
C00031,Central,3
C00032,North,2
C00033,South,3
C00034,South,8
C00035,West,9
C00036,West,10
C00037,South,5
C00038,Central,8
C00039,East,7
C00040,West,9
C00041,West,4
C00042,North,10
C00043,North,3
C00044,South,9
C00045,North,8
C00046,North,7
C00047,East,1
C00048,Central,2
C00049,South,9
C00050,East,5
C00051,South,1
C00052,Central,9
C00053,South,1
C00054,North,8
C00055,Central,5
C00056,East,6
C00057,East,1
C00058,West,2
C00059,East,7
C00060,West,2
C00061,North,5
C00062,East,9
C00063,Central,5
C00064,West,3
C00065,East,6
C00066,North,7
C00067,Central,10
C00068,Central,10
C00069,North,8
C00070,East,3
C00071,South,4
C00072,East,10
C00073,West,4
C00074,West,2
C00075,East,7
C00076,West,4
C00077,South,4
C00078,South,8
C00079,Central,6
C00080,West,6
C00081,East,9
C00082,Central,4
C00083,South,9
C00084,Central,1
C00085,North,9
C00086,West,1
C00087,East,7
C00088,South,6
C00089,Central,7
C00090,East,9
C00091,West,10
C00092,East,4
C00093,West,9
C00094,West,3
C00095,West,10
C00096,Central,9
C00097,West,1
C00098,East,5
C00099,North,10
C00100,East,5
C00101,Central,1
C00102,West,1
C00103,North,3
C00104,Central,9
C00105,South,7
C00106,South,6
C00107,South,9
C00108,North,4
C00109,East,4
C00110,North,3
C00111,North,5
C00112,North,5
C00113,South,10
C00114,East,7
C00115,North,7
C00116,East,6
C00117,West,4
C00118,North,7
C00119,North,2
C00120,North,9
C00121,West,7
C00122,West,2
C00123,South,10
C00124,Central,2
C00125,East,6
C00126,Central,7
C00127,North,9
C00128,North,4
C00129,South,8
C00130,Central,10
C00131,North,2
C00132,Central,6
C00133,South,4
C00134,Central,8
C00135,East,9
C00136,South,2
C00137,Central,7
C00138,North,7
C00139,West,8
C00140,West,5
C00141,South,3
C00142,West,1
C00143,East,4
C00144,South,3
C00145,North,2
C00146,North,6
C00147,South,7
C00148,West,10
C00149,West,7
C00150,North,8
C00151,East,2
C00152,West,10
C00153,East,6
C00154,West,6
C00155,South,10
C00156,Central,1
C00157,North,2
C00158,South,9
C00159,West,8
C00160,North,4
C00161,Central,6
C00162,Central,2
C00163,West,5
C00164,North,2
C00165,West,5
C00166,Central,7
C00167,South,7
C00168,South,9
C00169,East,3
C00170,Central,4
C00171,Central,9
C00172,West,8
C00173,East,7
C00174,East,8
C00175,North,9
C00176,West,4
C00177,South,5
C00178,North,9
C00179,East,7
C00180,South,4
C00181,Central,6
C00182,West,1
C00183,East,1
C00184,Central,9
C00185,East,8
C00186,South,1
C00187,North,2
C00188,South,4
C00189,West,1
C00190,West,2
C00191,East,5
C00192,South,8
C00193,North,6
C00194,West,6
C00195,North,4
C00196,Central,2
C00197,East,3
C00198,North,6
C00199,East,6
C00200,Central,5
C00201,North,6
C00202,North,6
C00203,Central,1
C00204,South,6
C00205,North,5
C00206,North,8
C00207,West,9
C00208,South,6
C00209,North,10
C00210,Central,4
C00211,East,3
C00212,Central,10
C00213,South,1
C00214,West,7
C00215,West,5
C00216,West,4
C00217,Central,9
C00218,East,7
C00219,East,10
C00220,North,8
C00221,East,4
C00222,East,10
C00223,North,10
C00224,Central,8
C00225,Central,4
C00226,South,1
C00227,Central,8
C00228,West,1
C00229,West,3
C00230,South,7
C00231,East,3
C00232,South,8
C00233,North,5
C00234,South,3
C00235,South,5
C00236,West,5
C00237,North,8
C00238,North,9
C00239,South,6
C00240,North,10
C00241,North,3
C00242,Central,2
C00243,North,3
C00244,East,9
C00245,North,7
C00246,West,9
C00247,Central,6
C00248,West,8
C00249,West,10
C00250,East,9
C00251,Central,3
C00252,South,7
C00253,North,9
C00254,East,2
C00255,East,7
C00256,South,5
C00257,East,8
C00258,South,4
C00259,South,1
C00260,South,10
C00261,East,8
C00262,South,6
C00263,East,8
C00264,Central,3
C00265,South,8
C00266,East,8
C00267,East,1
C00268,East,4
C00269,North,7
C00270,North,1
C00271,South,3
C00272,Central,3
C00273,South,6
C00274,West,5
C00275,West,7
C00276,Central,3
C00277,Central,1
C00278,Central,3
C00279,North,8
C00280,North,5
C00281,West,3
C00282,Central,8
C00283,East,6
C00284,West,3
C00285,Central,5
C00286,East,1
C00287,Central,6
C00288,South,9
C00289,East,7
C00290,South,8
C00291,North,6
C00292,West,5
C00293,Central,6
C00294,West,7
C00295,Central,9
C00296,South,8
C00297,East,5
C00298,East,7
C00299,Central,8
C00300,South,1
C00301,Central,8
C00302,Central,7
C00303,Central,2
C00304,East,2
C00305,Central,6
C00306,East,3
C00307,North,1
C00308,South,8
C00309,North,7
C00310,Central,4
C00311,East,1
C00312,South,2
C00313,West,9
C00314,South,4
C00315,South,3
C00316,Central,8
C00317,North,4
C00318,North,7
C00319,West,5
C00320,Central,5
C00321,South,6
C00322,North,4
C00323,North,2
C00324,East,6
C00325,South,5
C00326,Central,3
C00327,North,4
C00328,Central,3
C00329,South,3
C00330,South,4
C00331,North,2
C00332,West,4
C00333,Central,10
C00334,Central,2
C00335,East,10
C00336,South,8
C00337,South,10
C00338,North,5
C00339,North,7
C00340,North,4
C00341,East,10
C00342,West,6
C00343,North,10
C00344,North,4
C00345,North,6
C00346,East,1
C00347,Central,6
C00348,West,6
C00349,Central,2
C00350,South,10
C00351,South,10
C00352,North,9
C00353,Central,6
C00354,East,7
C00355,West,2
C00356,Central,2
C00357,Central,2
C00358,West,10
C00359,Central,9
C00360,Central,3
C00361,West,4
C00362,East,1
C00363,West,1
C00364,North,4
C00365,North,2
C00366,North,8
C00367,North,4
C00368,South,3
C00369,East,3
C00370,South,6
C00371,Central,6
C00372,Central,6
C00373,West,6
C00374,North,8
C00375,West,8
C00376,Central,9
C00377,North,1
C00378,East,10
C00379,Central,8
C00380,West,5
C00381,West,3
C00382,Central,10
C00383,South,3
C00384,East,6
C00385,Central,8
C00386,Central,10
C00387,West,2
C00388,North,9
C00389,North,5
C00390,North,5
C00391,West,1
C00392,North,6
C00393,Central,5
C00394,South,7
C00395,South,7
C00396,South,4
C00397,North,5
C00398,South,10
C00399,North,8
C00400,Central,2
C00401,Central,1
C00402,West,6
C00403,West,4
C00404,East,10
C00405,Central,3
C00406,North,7
C00407,East,8
C00408,Central,4
C00409,North,10
C00410,Central,6
C00411,Central,2
C00412,North,8
C00413,Central,6
C00414,Central,9
C00415,Central,6
C00416,West,6
C00417,South,2
C00418,Central,5
C00419,North,9
C00420,Central,1
C00421,West,4
C00422,West,10
C00423,Central,10
C00424,East,3
C00425,South,1
C00426,North,1
C00427,North,1
C00428,North,1
C00429,North,2
C00430,West,5
C00431,South,2
C00432,Central,4
C00433,Central,9
C00434,East,3
C00435,Central,2
C00436,South,4
C00437,Central,9
C00438,West,4
C00439,Central,5
C00440,North,4
C00441,North,8
C00442,North,4
C00443,North,2
C00444,West,4
C00445,West,2
C00446,West,9
C00447,Central,8
C00448,North,9
C00449,East,4
C00450,East,1
C00451,North,3
C00452,South,7
C00453,Central,1
C00454,East,8
C00455,West,9
C00456,South,8
C00457,West,5
C00458,South,9
C00459,South,4
C00460,Central,9
C00461,West,1
C00462,West,3
C00463,East,4
C00464,North,10
C00465,North,1
C00466,East,6
C00467,South,4
C00468,East,4
C00469,East,1
C00470,West,5
C00471,East,9
C00472,South,6
C00473,North,8
C00474,Central,4
C00475,East,9
C00476,East,7
C00477,West,7
C00478,West,8
C00479,East,2
C00480,East,6
C00481,South,7
C00482,North,3
C00483,North,8
C00484,Central,1
C00485,North,1
C00486,Central,10
C00487,West,3
C00488,Central,6
C00489,Central,7
C00490,North,2
C00491,East,6
C00492,West,5
C00493,South,6
C00494,Central,1
C00495,Central,10
C00496,Central,7
C00497,East,8
C00498,South,7
C00499,North,9
C00500,West,1
C00501,East,10
C00502,South,9
C00503,West,3
C00504,North,2
C00505,West,6
C00506,Central,5
C00507,Central,4
C00508,East,4
C00509,West,8
C00510,Central,10
C00511,East,3
C00512,East,1
C00513,East,5
C00514,North,8
C00515,Central,3
C00516,Central,2
C00517,South,1
C00518,North,4
C00519,Central,2
C00520,Central,8
C00521,South,10
C00522,West,9
C00523,West,10
C00524,North,1
C00525,East,2
C00526,South,6
C00527,South,10
C00528,Central,7
C00529,Central,2
C00530,South,8
C00531,East,10
C00532,West,9
C00533,North,8
C00534,West,9
C00535,North,6
C00536,East,7
C00537,South,6
C00538,East,7
C00539,South,3
C00540,Central,4
C00541,North,9
C00542,Central,3
C00543,South,2
C00544,North,7
C00545,North,6
C00546,Central,3
C00547,North,6
C00548,South,7
C00549,South,6
C00550,Central,1
C00551,East,1
C00552,South,9
C00553,South,6
C00554,North,2
C00555,North,1
C00556,South,2
C00557,Central,8
C00558,East,5
C00559,North,7
C00560,North,7
C00561,East,2
C00562,North,4
C00563,Central,2
C00564,North,7
C00565,North,5
C00566,South,1
C00567,Central,2
C00568,Central,6
C00569,South,4
C00570,West,7
C00571,East,2
C00572,Central,2
C00573,West,6
C00574,East,8
C00575,Central,1
C00576,North,5
C00577,Central,1
C00578,East,6
C00579,West,7
C00580,North,6
C00581,East,9
C00582,East,3
C00583,Central,8
C00584,South,3
C00585,South,7
C00586,North,5
C00587,East,1
C00588,West,4
C00589,North,9
C00590,North,8
C00591,Central,3
C00592,West,2
C00593,East,9
C00594,East,1
C00595,East,9
C00596,North,7
C00597,Central,2
C00598,North,5
C00599,South,2
C00600,South,5
C00601,East,7
C00602,Central,5
C00603,East,2
C00604,East,5
C00605,North,10
C00606,East,6
C00607,East,5
C00608,Central,2
C00609,Central,6
C00610,Central,6
C00611,East,2
C00612,Central,4
C00613,Central,7
C00614,West,1
C00615,West,1
C00616,South,6
C00617,North,7
C00618,North,5
C00619,Central,10
C00620,South,8
C00621,South,4
C00622,West,3
C00623,South,7
C00624,East,4
C00625,Central,1
C00626,East,8
C00627,North,5
C00628,West,8
C00629,East,8
C00630,Central,5
C00631,East,8
C00632,East,7
C00633,South,3
C00634,West,4
C00635,North,7
C00636,Central,4
C00637,Central,6
C00638,North,2
C00639,Central,2
C00640,South,3
C00641,East,10
C00642,South,7
C00643,South,3
C00644,South,3
C00645,North,4
C00646,West,10
C00647,North,6
C00648,North,1
C00649,South,6
C00650,West,8
C00651,North,8
C00652,West,6
C00653,South,6
C00654,North,3
C00655,West,2
C00656,Central,7
C00657,North,8
C00658,North,10
C00659,North,6
C00660,West,5
C00661,East,4
C00662,North,1
C00663,Central,9
C00664,Central,10
C00665,South,4
C00666,East,2
C00667,East,4
C00668,West,5
C00669,South,2
C00670,West,7
C00671,South,3
C00672,East,8
C00673,West,4
C00674,South,5
C00675,East,3
C00676,East,5
C00677,North,9
C00678,West,2
C00679,North,7
C00680,East,10
C00681,West,8
C00682,West,3
C00683,Central,4
C00684,South,10
C00685,Central,2
C00686,Central,10
C00687,East,9
C00688,South,3
C00689,Central,9
C00690,Central,7
C00691,West,6
C00692,East,3
C00693,Central,7
C00694,South,3
C00695,North,6
C00696,North,8
C00697,East,5
C00698,North,3
C00699,West,6
C00700,West,8
C00701,South,10
C00702,East,3
C00703,East,5
C00704,North,9
C00705,Central,10
C00706,Central,10
C00707,Central,3
C00708,South,2
C00709,East,8
C00710,North,7
C00711,South,9
C00712,West,4
C00713,West,3
C00714,West,10
C00715,East,5
C00716,West,1
C00717,Central,5
C00718,West,3
C00719,South,1
C00720,West,3
C00721,Central,5
C00722,West,5
C00723,North,10
C00724,Central,8
C00725,East,1
C00726,West,7
C00727,South,5
C00728,West,3
C00729,South,4
C00730,North,3
C00731,East,8
C00732,Central,4
C00733,Central,3
C00734,East,2
C00735,North,3
C00736,North,7
C00737,West,6
C00738,North,10
C00739,West,5
C00740,South,8
C00741,East,1
C00742,South,3
C00743,South,2
C00744,South,2
C00745,South,1
C00746,Central,5
C00747,North,5
C00748,East,3
C00749,East,9
C00750,South,6
C00751,East,10
C00752,West,6
C00753,East,10
C00754,South,6
C00755,East,2
C00756,North,10
C00757,South,10
C00758,Central,8
C00759,North,6
C00760,East,3
C00761,Central,10
C00762,North,9
C00763,West,2
C00764,North,7
C00765,Central,3
C00766,West,6
C00767,East,5
C00768,South,6
C00769,East,8
C00770,South,3
C00771,South,2
C00772,Central,8
C00773,West,1
C00774,West,2
C00775,North,10
C00776,East,1
C00777,Central,5
C00778,East,8
C00779,North,2
C00780,North,4
C00781,Central,4
C00782,North,7
C00783,Central,1
C00784,North,9
C00785,West,3
C00786,Central,6
C00787,West,10
C00788,West,5
C00789,Central,4
C00790,East,9
C00791,South,9
C00792,North,1
C00793,North,7
C00794,East,10
C00795,South,9
C00796,East,5
C00797,South,1
C00798,Central,8
C00799,Central,5
C00800,West,6
C00801,West,7
C00802,Central,10
C00803,West,7
C00804,Central,7
C00805,East,1
C00806,North,7
C00807,Central,3
C00808,Central,5
C00809,Central,10
C00810,West,5
C00811,West,8
C00812,West,7
C00813,West,7
C00814,East,6
C00815,Central,7
C00816,East,7
C00817,West,5
C00818,East,5
C00819,Central,4
C00820,Central,4
C00821,West,5
C00822,Central,10
C00823,East,9
C00824,South,6
C00825,Central,8
C00826,East,9
C00827,East,4
C00828,East,7
C00829,Central,5
C00830,South,4
C00831,West,7
C00832,West,3
C00833,Central,1
C00834,Central,7
C00835,North,9
C00836,South,2
C00837,East,7
C00838,East,10
C00839,West,2
C00840,Central,3
C00841,South,10
C00842,West,10
C00843,South,3
C00844,Central,4
C00845,East,6
C00846,North,3
C00847,South,9
C00848,East,2
C00849,South,7
C00850,South,6
C00851,South,2
C00852,Central,3
C00853,West,6
C00854,South,10
C00855,Central,4
C00856,North,1
C00857,West,1
C00858,Central,3
C00859,North,8
C00860,West,4
C00861,Central,1
C00862,North,8
C00863,Central,10
C00864,North,6
C00865,South,1
C00866,South,10
C00867,West,10
C00868,North,6
C00869,South,1
C00870,West,10
C00871,East,10
C00872,South,3
C00873,South,2
C00874,Central,4
C00875,East,2
C00876,North,5
C00877,West,4
C00878,East,6
C00879,North,7
C00880,South,2
C00881,West,2
C00882,West,8
C00883,East,9
C00884,Central,5
C00885,North,7
C00886,East,9
C00887,Central,1
C00888,Central,8
C00889,Central,10
C00890,West,10
C00891,North,9
C00892,North,9
C00893,East,10
C00894,South,7
C00895,East,10
C00896,North,3
C00897,West,5
C00898,East,2
C00899,South,10
C00900,East,3
C00901,Central,10
C00902,South,7
C00903,Central,1
C00904,West,3
C00905,North,5
C00906,East,4
C00907,East,3
C00908,Central,6
C00909,Central,6
C00910,North,4
C00911,East,9
C00912,North,6
C00913,Central,9
C00914,Central,10
C00915,South,10
C00916,Central,2
C00917,Central,6
C00918,North,4
C00919,South,2
C00920,South,5
C00921,East,3
C00922,West,6
C00923,East,8
C00924,East,4
C00925,East,4
C00926,South,5
C00927,North,6
C00928,Central,7
C00929,South,6
C00930,Central,7
C00931,Central,9
C00932,West,4
C00933,East,10
C00934,West,1
C00935,East,9
C00936,South,7
C00937,Central,4
C00938,West,10
C00939,South,8
C00940,South,7
C00941,East,2
C00942,Central,1
C00943,East,9
C00944,East,7
C00945,South,10
C00946,East,1
C00947,North,4
C00948,Central,5
C00949,East,5
C00950,East,5
C00951,West,3
C00952,Central,5
C00953,Central,4
C00954,East,5
C00955,North,7
C00956,West,5
C00957,North,8
C00958,East,8
C00959,Central,3
C00960,Central,5
C00961,North,4
C00962,South,5
C00963,East,8
C00964,Central,4
C00965,South,5
C00966,Central,7
C00967,Central,3
C00968,South,6
C00969,North,9
C00970,East,4
C00971,South,4
C00972,South,6
C00973,Central,6
C00974,South,3
C00975,East,1
C00976,North,3
C00977,North,8
C00978,North,8
C00979,East,6
C00980,Central,7
C00981,East,2
C00982,South,9
C00983,West,3
C00984,West,2
C00985,West,5
C00986,North,1
C00987,East,5
C00988,East,10
C00989,North,4
C00990,South,6
C00991,West,5
C00992,West,9
C00993,North,5
C00994,West,8
C00995,Central,2
C00996,East,3
C00997,West,3
C00998,West,3
C00999,Central,6
C01000,South,7
C01001,South,7
C01002,Central,7
C01003,South,3
C01004,North,1
C01005,Central,6
C01006,East,3
C01007,East,3
C01008,East,3
C01009,West,9
C01010,Central,4
C01011,Central,5
C01012,South,3
C01013,Central,10
C01014,Central,1
C01015,South,4
C01016,Central,1
C01017,Central,7
C01018,North,7
C01019,South,4
C01020,North,5
C01021,West,10
C01022,South,7
C01023,Central,6
C01024,Central,4
C01025,North,4
C01026,North,2
C01027,West,10
C01028,West,2
C01029,Central,4
C01030,East,5
C01031,West,4
C01032,Central,3
C01033,West,2
C01034,South,4
C01035,North,5
C01036,Central,1
C01037,West,1
C01038,North,6
C01039,East,5
C01040,West,4
C01041,Central,1
C01042,South,7
C01043,North,4
C01044,North,3
C01045,South,7
C01046,Central,2
C01047,East,10
C01048,South,1
C01049,East,4
C01050,Central,8
C01051,West,6
C01052,West,9
C01053,Central,1
C01054,East,1
C01055,South,5
C01056,Central,6
C01057,Central,8
C01058,West,3
C01059,South,6
C01060,West,3
C01061,East,8
C01062,East,4
C01063,North,2
C01064,Central,9
C01065,South,10
C01066,South,8
C01067,West,6
C01068,West,3
C01069,South,2
C01070,West,4
C01071,North,4
C01072,Central,1
C01073,North,9
C01074,East,10
C01075,South,8
C01076,North,7
C01077,North,6
C01078,West,3
C01079,West,4
C01080,West,2
C01081,East,7
C01082,North,2
C01083,Central,10
C01084,West,1
C01085,East,6
C01086,East,4
C01087,West,8
C01088,South,1
C01089,North,9
C01090,West,6
C01091,Central,2
C01092,North,8
C01093,East,5
C01094,Central,5
C01095,North,5
C01096,Central,7
C01097,East,7
C01098,West,10
C01099,Central,7
C01100,West,10
C01101,East,2
C01102,East,8
C01103,Central,1
C01104,Central,2
C01105,East,7
C01106,Central,4
C01107,Central,10
C01108,Central,10
C01109,Central,9
C01110,North,9
C01111,East,3
C01112,East,3
C01113,South,9
C01114,West,10
C01115,South,8
C01116,Central,1
C01117,Central,6
C01118,North,7
C01119,North,8
C01120,North,2
C01121,North,1
C01122,North,4
C01123,North,1
C01124,North,2
C01125,North,3
C01126,North,4
C01127,East,6
C01128,North,8
C01129,West,9
C01130,North,4
C01131,Central,1
C01132,Central,5
C01133,North,5
C01134,North,9
C01135,Central,6
C01136,West,5
C01137,South,10
C01138,East,10
C01139,Central,5
C01140,North,8
C01141,East,1
C01142,North,5
C01143,South,1
C01144,South,7
C01145,Central,7
C01146,East,10
C01147,East,8
C01148,South,7
C01149,North,9
C01150,Central,8
C01151,West,8
C01152,South,3
C01153,South,10
C01154,Central,4
C01155,North,4
C01156,East,1
C01157,South,6
C01158,Central,2
C01159,Central,9
C01160,Central,1
C01161,East,1
C01162,South,10
C01163,Central,6
C01164,East,1
C01165,North,3
C01166,West,10
C01167,South,2
C01168,East,9
C01169,West,5
C01170,West,6
C01171,East,2
C01172,East,8
C01173,East,6
C01174,Central,8
C01175,North,8
C01176,Central,1
C01177,West,7
C01178,West,2
C01179,West,8
C01180,East,2
C01181,South,4
C01182,Central,2
C01183,South,7
C01184,North,5
C01185,North,9
C01186,Central,5
C01187,West,8
C01188,North,2
C01189,South,3
C01190,South,6
C01191,East,7
C01192,West,10
C01193,East,8
C01194,Central,3
C01195,North,7
C01196,East,8
C01197,East,10
C01198,Central,6
C01199,South,4
C01200,South,6
C01201,Central,9
C01202,South,3
C01203,Central,2
C01204,South,5
C01205,Central,7
C01206,South,3
C01207,East,5
C01208,East,4
C01209,South,7
C01210,Central,2
C01211,East,7
C01212,North,2
C01213,South,3
C01214,North,5
C01215,North,7
C01216,West,6
C01217,North,7
C01218,North,6
C01219,West,1
C01220,West,5
C01221,West,1
C01222,Central,7
C01223,West,4
C01224,Central,5
C01225,South,1
C01226,Central,8
C01227,South,4
C01228,West,3
C01229,West,1
C01230,South,4
C01231,East,3
C01232,Central,8
C01233,North,9
C01234,West,5
C01235,Central,9
C01236,Central,1
C01237,West,7
C01238,South,7
C01239,West,6
C01240,Central,4
C01241,East,9
C01242,South,3
C01243,West,1
C01244,North,2
C01245,West,3
C01246,Central,2
C01247,Central,6
C01248,North,7
C01249,South,5
C01250,Central,5
C01251,South,7
C01252,South,6
C01253,West,8
C01254,South,9
C01255,Central,2
C01256,Central,2
C01257,East,1
C01258,South,7
C01259,East,4
C01260,West,9
C01261,East,6
C01262,South,7
C01263,Central,7
C01264,West,8
C01265,South,4
C01266,West,3
C01267,North,3
C01268,South,10
C01269,North,8
C01270,East,3
C01271,South,8
C01272,North,2
C01273,Central,5
C01274,East,5
C01275,South,7
C01276,South,5
C01277,Central,9
C01278,Central,3
C01279,North,9
C01280,North,1
C01281,North,3
C01282,West,4
C01283,East,6
C01284,South,10
C01285,East,8
C01286,Central,7
C01287,East,8
C01288,East,6
C01289,North,6
C01290,Central,6
C01291,East,3
C01292,South,10
C01293,North,4
C01294,East,6
C01295,Central,7
C01296,South,3
C01297,Central,4
C01298,Central,6
C01299,Central,1
C01300,West,7
C01301,South,1
C01302,Central,10
C01303,West,9
C01304,North,10
C01305,West,9
C01306,North,9
C01307,West,4
C01308,Central,2
C01309,West,7
C01310,West,4
C01311,Central,5
C01312,North,1
C01313,Central,10
C01314,South,6
C01315,West,7
C01316,South,3
C01317,Central,10
C01318,Central,2
C01319,East,10
C01320,South,7
C01321,East,1
C01322,South,2
C01323,East,3
C01324,East,4
C01325,South,5
C01326,Central,4
C01327,North,10
